pricePerUnit;brand;productType;identificationID;dimensions;title;quantityAvailable;mainImage;technicalSheetURL
15.4;Balsan;Réemploi;GIZ2307004;50x50;Eco-Pilote 110;120;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/110-wfbG.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/84bcdead-92aa-49b7-852a-2d1431afdf75.pdf
22.4;Balsan;Réemploi;GIZ2307005;50x50;Landscape Canyon 610;154;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/optimalkarpet/Canyon-610-logo-gy51.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/b093de61-032e-46ff-a8ea-0a69bb1a43b7.pdf
11.2;Desso;Réemploi;GIZ2305006;50x50;Lita 9505;120;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/DESSO-escolita-gris-clair-GIZ2210008--logo-i5ft.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/154fd6d3-1587-481d-8d4c-ade6f5954117.pdf
11.2;Tecsom;Réemploi;GIZ2305007;50x50;3600 Green System 032;30;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/optimalkarpet/Classement/00032-0Zus.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/77260f0a-31d9-4300-95d9-bf9e24de2456.pdf
11.2;Tecsom;Réemploi;GIZ2305008;50x50;3600 Green System 031;70;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/optimalkarpet/Classement/gris-00031-PPoB.jpg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/abe9c5c4-fb7a-4966-b48b-ae0565c82612.pdf
19.6;Desso;Réemploi;GIZ2306001;50x50;Fields 9098;90;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Fields-9098-A0dw.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/13726410-e1c7-4cda-976d-4417ca1ea150.pdf
15.4;Interface;Réemploi;GIZ2305011;50x50;Transformation 1628067 Nightshade;100;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/nightshade--logo-L06V.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/d7652dd1-4389-40f0-8413-1e44b2aba106.pdf
15.4;Interface;Réemploi;GIZ2307016;50x50;Equilibrium Symmetry;70;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/1190022-Symmetry-logo-LPNy.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/83323d0d-9ef4-46b6-9a0a-8197be151dd4.pdf
26.6;Interface;Réemploi;GIZ2307018;25x100;On Line Sage;45;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/sage-6w0e.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/b0fe70f9-23c4-4794-9e24-7ea35f3cb8a2.pdf
26.6;Interface;Réemploi;GIZ2307019;25x100;On Line Biscuit;70;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/biscuit-logo-RXlS.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/b34ff489-eb29-4a47-847d-f8b55a27d9ef.pdf
26.6;Balsan;Réemploi;GIZ2307009;50x50;Carré Couture César 600;40;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Cesar-600-ukKm.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/6cdade32-07ad-42f6-97b5-60144a069664.pdf
26.6;Balsan;Réemploi;GIZ2307010;50x50;Carré Couture Daurius 600;80;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/Daurius-600-r4Ja.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/f5e36450-ad8e-43d1-a3f3-b85d2cbbc676.pdf
25.2;Balsan;Réemploi;GIZ2307011;50x50;KARPET - Scope HD 607;75;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/607-logo-H3N6.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/02ebcc43-83a9-4eae-93c3-0070220e5a25.pdf
